Date,Added Ticker,Added Company,Removed Ticker,Removed Company,Reason
13-Nov-13,KORS,Michael Kors,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext.[192]
29-Oct-13,RIG,Transocean,DELL,Dell,Founder Michael Dell and Silver Lake Partners acquired Dell.[193]
20-Sep-13,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,Market capitalization change.[194]
20-Sep-13,AME,Ametek,SAI,SAIC,Market capitalization change.[194]
10-Sep-13,DAL,Delta Air Lines,BMC,BMC Software,BMC taken private by consortium[195]
08-Jul-13,NLSN,Nielsen Holdings,S,Sprint Nextel,Softbank consortium purchase results in public float below 50%[196]
01-Jul-13,NWSA,21st Century Fox,APOL,Apollo Education Group,Apollo Group's market cap more representative of a mid-cap[197]
21-Jun-13,ZTS,Zoetis,FHN,First Horizon,Zoetis spun off by Pfizer[198]
06-Jun-13,GM,General Motors,HNZ,Heinz,HNZ acquired by consortium[199]
23-May-13,KSU,Kansas City Southern,DF,Dean Foods,DF too small after spinoff of White Wave Foods[200]
08-May-13,MAC,Macerich,CVH,Coventry Health Care,Acquired by Aetna (AET)[201]
30-Apr-13,REGN,Regeneron Pharmaceuticals,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile[202]
15-Feb-13,PVH,PVH,BIG,Big Lots,Market capitalization changes[203]
02-Jan-13,ABBV,AbbVie,FII,Federated Investors,ABBV spun off from Abbott Labs (ABT)[204]
21-Dec-12,DLPH,Delphi Automotive,TIE,Titanium Metals,TIE acquired by Precision Cast Parts (PCP)[205]
11-Dec-12,GRMN,Garmin,RRD,RR Donnelley,Market capitalization changes[206]
03-Dec-12,DG,Dollar General,CBE,Cooper Industries,Acquired by Eaton Corp. (ETN)[207]
10-Oct-12,PETM,PetSmart,SUN,Sunoco,Acquired by Energy Transfer Partners (ETP)[208]
02-Oct-12,KRFT,Kraft Foods,ANR,Alpha Natural Resources,Kraft split into two companies[209]
02-Oct-12,MDLZ,Mondelez,KFT,Kraft Foods,Old Kraft Foods renamed Mondelez[210]
01-Oct-12,ADT,ADT,LXK,Lexmark,Tyco spun off ADT
01-Oct-12,PNR,Pentair,DV,DeVry,Tyco spin-off merged w/Pentair
05-Sep-12,LYB,LyondellBasell,SHLD,Sears Holdings,SHLD below public float threshold
31-Jul-12,ESV,Ensco,GR,Goodrich Corporation,Goodrich acquired by United Technologies (UTX).[211]
02-Jul-12,STX,Seagate Technology,PGN,Progress Energy,Acquired by Duke Energy (DUK)[212]
29-Jun-12,MNST,Monster Beverage,SLE,Sara Lee Corporation,Split up of Sara Lee[213]
05-Jun-12,LRCX,Lam Research,NVLS,Novellus Systems,Acquired by Lam Research (LRCX)[214]
21-May-12,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,Acquired by Google (GOOG)[215]
17-May-12,KMI,Kinder Morgan,EP,El Paso Corporation,Acquired by Kinder Morgan (KMI)[216]
23-Apr-12,PSX,Phillips 66,SVU,Supervalu,ConocoPhillips spun off Phillips 66[217]
03-Apr-12,FOSL,Fossil,MHS,Medco Health Solutions,Acquired by Express Scripts (ESRX)[218]
13-Mar-12,CCI,Crown Castle,CEG,Constellation Energy Group,Acquired by Exelon Corp. (EXC)[219]
31-Dec-11,WPX,WPX Energy,CPWR,Compuware,Market capitalization changes[220]
20-Dec-11,TRIP,TripAdvisor,TLAB,Tellabs,Expedia spun off TripAdvisor.[221]
16-Dec-11,BWA,BorgWarner,AKS,AK Steel,Market capitalization changes[222]
16-Dec-11,PRGO,Perrigo,MWW,Monster Worldwide,Market capitalization changes
16-Dec-11,DLTR,Dollar Tree,WFR,MEMC Electronic Materials,Market capitalization changes
12-Dec-11,GAS,AGL Resources.,GAS,Nicor Gas,"Nicor acquired by AGL, which retained the GAS ticker.[223]"
18-Nov-11,CBE,Cooper Industries,JNS,Janus Capital Group,Janus Capital Group's market capitalization is less than $1.2 billion
and is no longer representative of the large cap market space.[224],,,,,
31-Oct-11,XYL,Xylem,ITT,ITT,Spun off from ITT Corp.[225]
14-Oct-11,TEL,TE Connectivity,CEPH,Cephalon,Acquired by Teva Pharmaceutical Industries (TEVA).[226]
23-Sep-11,MOS,The Mosaic Company,NSM,National Semiconductor,Acquired by Texas Instruments (TXN).[227]
05-Jul-11,ACN,Accenture,MI,Marshall & Ilsley,Marshall & Iisley is being bought by Bank of Montreal[228]
30-Jun-11,MPC,Marathon Oil,RSH,RadioShack,Market capitalization adjustments.[229]
01-Jun-11,ANR,Alpha Natural Resources,MEE,Massey Energy,Alpha Natural Resources acquired Massey Energy.[230]
27-Apr-11,CMG,Chipotle Mexican Grill,NOVL,Novell,Acquired by private equity firms.[231]
01-Apr-11,BLK,BlackRock,GENZ,Genzyme,Acquired by Sanofi Aventis (SNY)[232]
31-Mar-11,EW,Edwards Lifesciences,Q,Qwest Communications,Acquired by CenturyLink[233]
28-Feb-11,COV,Covidien,MFE,McAfee,Acquired by Intel[234]
25-Feb-11,JOYG,Joy Global,AYE,Allegheny Energy,Acquired by First Energy (FE).[235]
03-Jan-11,MMI,Motorola Mobility,MDP,Meredith Corp,S&P constituent Motorola spun off Motorola Mobility.[236]
17-Dec-10,CVC,Cablevision,KG,King Pharmaceuticals,Acquired by Pfizer.[237]
17-Dec-10,FFIV,F5 Networks,EK,Eastman Kodak,Market Cap changes.[237]
17-Dec-10,NFLX,Netflix,ODP,Office Depot,Market Cap changes.
17-Dec-10,NFX,Newfield Exploration,NYT,The New York Times Company,Market Cap changes.
17-Nov-10,IR,Ingersoll-Rand,PTV,Pactiv,Reynolds Group Holdings acquired Pactiv.[238]
26-Aug-10,TYC,Tyco International,SII,Smith International,Acquired by Schlumberger (SLB)[239]
14-Jul-10,CB,Chubb,MIL,Millipore,Acquired by Merck KGaA (MKGAY)[240]
30-Jun-10,QEP,QEP Resources,STR,Questar,"Company split. QEP retained, but ticker changed.[241]"
28-Jun-10,KMX,CarMax,XTO,XTO Energy,Acquired by ExxonMobil[242]
29-Apr-10,CERN,Cerner,BJS,BJ Services,Acquired by Baker Hughes[243]
26-Feb-10,HP,Helmerich & Payne,RX,IMS Health,Taken private
18-Dec-09,V,Visa,CIEN,Ciena,Market capitalization change.[citation needed]
18-Dec-09,MJN,Mead Johnson Nutrition,DYN,Dynegy,Market capitalization change.[citation needed]
18-Dec-09,CLF,Cliffs Natural Resources,KBH,KB Home,Market capitalization change.[citation needed]
18-Dec-09,SAI,SAIC,CVG,Convergys,Market capitalization change.[citation needed]
18-Dec-09,ROST,Ross Stores,MBI,MBIA,Market capitalization change.[citation needed]
03-Nov-09,PCLN,Priceline.com,SGP,Schering-Plough,Acquired by Merck & Co. (MRK)[244]
28-Sep-09,ARG,Airgas,CBE,Cooper Industries,Redomesticated to Ireland[245]
19-Aug-09,FMC,FMC Corporation,CTX,Centex Corp.,Centex acquired by Pulte Homes.[246]
29-Jun-09,PCS,MetroPCS,,,PCS replaced TEL.[247]
25-Jun-09,,,TEL,TE Connectivity,"Tyco Electronics left the index because it was reincorporating in Switzerland, making it ineligible for inclusion.[247]"
05-Jun-09,FTI,FMC Technologies,COV,Covidien,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index.[248]"
03-Mar-09,HRL,Hormel Foods,ACAS,American Capital,Capitalization rebalance.[249]
03-Mar-09,VTR,Ventas,JNY,Jones Apparel Group,Capitalization rebalance.
31-Dec-08,OI,Owens-Illinois,WB,Wachovia Bank,Wachovia Bank acquired by Wells Fargo.[250]
16-Sep-08,HRS,Harris Corporation,LEH,Lehman Brothers,Lehman Brothers filed for bankruptcy.[251]
12-Sep-08,CRM,Salesforce,FRE,Freddie Mac,Capitalization rebalance.[252]
12-Sep-08,FAST,Fastenal,FNM,Fannie Mae,Capitalization rebalance.[252]
01-Jul-08,AKS,AK Steel,CFC,Countrywide Financial Corp,Ak Steel replaced Countrywide Financial.[253]
23-Jun-08,COG,Cabot Oil & Gas,BC,Brunswick,Market capitalization change.[254]
23-Jun-08,MEE,Massey Energy,OMX,OfficeMax,Market capitalization change.[254]
10-Jun-08,LO,Lorillard Tobacco Company,ABK,Ambac Financial,Market Value Decline[255]
20-Dec-07,RRC,Range Resources,TRB,Tribune Media,Taken private[256]
